Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1976,1976,C,-1.579,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1977,1977,C,-0.11,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1978,1978,C,-0.333,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1979,1979,C,1.118,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1980,1980,C,-1.17,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1981,1981,C,1.112,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1982,1982,C,-2.081,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1983,1983,C,0.477,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1984,1984,C,-4.275,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1985,1985,C,2.521,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1986,1986,C,-0.144,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1987,1987,C,1.517,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1988,1988,C,0.324,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1989,1989,C,-3.002,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1990,1990,C,-0.27,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1991,1991,C,-1.316,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1992,1992,C,-0.062,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1993,1993,C,1.514,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1994,1994,C,-1.356,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1995,1995,C,-0.122,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1996,1996,C,0.903,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1997,1997,C,-0.05,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1998,1998,C,-0.656,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,1999,1999,C,3.127,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2000,2000,C,-0.881,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2001,2001,C,0.738,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2002,2002,C,1.017,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2003,2003,C,1.864,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2004,2004,C,2.95,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2005,2005,C,-1.47,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2006,2006,C,4.803,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2007,2007,C,1.783,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2008,2008,C,-2.194,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2009,2009,C,2.629,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2010,2010,C,1.373,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2011,2011,C,0.448,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2012,2012,C,-2.994,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2013,2013,C,1.634,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2014,2014,C,-3.111,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2015,2015,C,2.75,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2016,2016,C,2.39,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2017,2017,C,-0.077,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2018,2018,C,2.82,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2019,2019,C,0.334,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7002,February,2020,2020,C,2.668,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1961,1961,C,0.458,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1962,1962,C,1.281,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1963,1963,C,0.375,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1964,1964,C,1.608,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1965,1965,C,-0.953,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1966,1966,C,-0.068,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1967,1967,C,-0.761,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1968,1968,C,0.493,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1969,1969,C,2.479,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1970,1970,C,-0.907,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1971,1971,C,1.698,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1972,1972,C,-1.784,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1973,1973,C,-0.503,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1974,1974,C,0.992,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1975,1975,C,-0.586,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1976,1976,C,-2.781,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1977,1977,C,3.393,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1978,1978,C,-1.493,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1979,1979,C,-1.375,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1980,1980,C,-0.565,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1981,1981,C,1.189,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1982,1982,C,-1.755,Fc,Calculated data
ET,Temperature change,2,Afghanistan,7271,Temperature change,7003,March,1983,1983,C,-2.346,Fc,Calculated data
